Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
32,Yes,Non-Travel,706,Sales,22,1,Technical Degree,1,22,1,Male,37,1,2,Sales Representative,2,Single,2591,8011,0,Y,Yes,19,3,1,80,2,2,1,3,34,11,9,3
57,No,Travel_Frequently,195,Sales,9,4,Technical Degree,1,23,4,Male,99,3,3,Manager,4,Divorced,2327,12488,1,Y,No,21,3,1,80,0,9,0,1,33,5,2,11
49,No,Non-Travel,428,Research & Development,9,4,Marketing,1,24,4,Female,30,1,2,Research Scientist,3,Single,7239,20082,6,Y,No,23,3,1,80,0,1,0,1,21,4,0,13
26,No,Travel_Frequently,326,Research & Development,9,4,Human Resources,1,25,2,Female,91,2,1,Manager,4,Divorced,19333,9684,2,Y,Yes,24,3,3,80,2,7,1,1,18,10,12,6
54,No,Travel_Rarely,1068,Research & Development,27,4,Technical Degree,1,26,4,Female,67,1,3,Research Scientist,3,Single,12078,4176,1,Y,No,18,3,3,80,2,17,2,3,20,11,6,1
27,No,Travel_Rarely,991,Sales,17,2,Marketing,1,27,3,Male,74,1,2,Sales Representative,4,Married,9038,14228,5,Y,No,18,3,2,80,2,38,2,1,11,6,9,13
37,No,Travel_Rarely,112,Research & Development,12,1,Human Resources,1,28,1,Female,87,3,1,Manager,3,Single,10048,17152,7,Y,Yes,12,3,1,80,1,30,0,2,10,8,7,9
23,No,Travel_Rarely,1454,Research & Development,25,3,Medical,1,29,1,Female,30,1,2,Healthcare Representative,4,Single,16954,16395,7,Y,No,16,3,1,80,0,13,2,1,18,17,10,15
20,Yes,Travel_Rarely,1137,Sales,13,4,Life Sciences,1,30,1,Female,61,2,2,Sales Executive,4,Single,2070,7187,1,Y,No,23,3,2,80,0,38,0,1,5,13,12,2
59,Yes,Travel_Rarely,136,Research & Development,8,4,Technical Degree,1,31,3,Female,37,2,4,Research Scientist,2,Married,3254,25621,5,Y,No,23,3,1,80,2,32,2,2,13,3,2,7
28,No,Travel_Rarely,548,Sales,16,3,Marketing,1,32,4,Male,69,1,1,Sales Executive,1,Married,14703,2378,4,Y,Yes,15,3,2,80,2,28,3,3,32,7,2,16
34,No,Travel_Rarely,1345,Sales,18,3,Medical,1,33,1,Male,85,1,4,Sales Executive,1,Divorced,4779,7660,6,Y,No,24,3,3,80,1,32,1,1,37,15,13,3
49,No,Travel_Rarely,542,Human Resources,27,4,Technical Degree,1,34,3,Male,92,3,3,Manager,3,Single,15706,12851,3,Y,Yes,22,3,2,80,1,34,5,2,12,3,5,14
21,No,Travel_Rarely,754,Human Resources,1,3,Other,1,35,2,Female,65,3,1,Human Resources,4,Married,15225,10312,1,Y,Yes,12,3,2,80,0,1,4,3,25,5,14,9
21,No,Travel_Frequently,696,Research & Development,1,3,Medical,1,36,4,Female,86,2,4,Healthcare Representative,4,Married,9318,20752,2,Y,No,15,3,3,80,1,34,3,2,13,14,1,9
34,No,Travel_Rarely,330,Research & Development,12,2,Technical Degree,1,37,3,Female,74,3,4,Research Director,1,Single,15531,6066,8,Y,Yes,14,3,1,80,0,31,2,1,23,11,5,11
58,Yes,Travel_Rarely,445,Sales,6,3,Medical,1,38,4,Male,31,1,3,Sales Representative,3,Married,3190,15773,7,Y,Yes,19,3,2,80,2,35,4,2,0,11,4,8
36,No,Travel_Rarely,1205,Research & Development,9,1,Life Sciences,1,39,2,Male,97,2,2,Laboratory Technician,2,Married,11530,13667,8,Y,No,22,3,2,80,2,22,5,3,29,1,13,14
22,No,Travel_Rarely,1478,Research & Development,23,1,Life Sciences,1,40,3,Male,79,3,2,Healthcare Representative,2,Married,9502,6207,4,Y,No,11,3,1,80,0,4,3,1,9,8,6,0
49,No,Travel_Rarely,1415,Sales,5,1,Life Sciences,1,41,4,Male,58,2,2,Manager,2,Married,3649,16472,4,Y,Yes,16,3,2,80,2,15,5,2,9,2,14,2
39,No,Travel_Rarely,1090,Research & Development,27,4,Human Resources,1,42,3,Female,39,1,3,Manufacturing Director,4,Married,15472,12422,6,Y,No,17,3,3,80,1,39,1,3,27,0,8,7
23,No,Travel_Rarely,1253,Sales,16,1,Other,1,43,1,Male,56,3,4,Sales Representative,3,Single,4862,25207,6,Y,Yes,22,3,2,80,2,23,4,3,3,13,8,6
52,No,Travel_Rarely,1010,Human Resources,18,2,Life Sciences,1,44,4,Male,44,1,1,Manager,1,Married,2917,26826,0,Y,No,16,3,1,80,2,39,5,1,13,12,0,14
39,No,Non-Travel,1484,Sales,17,1,Other,1,45,3,Female,89,1,3,Sales Representative,4,Divorced,14444,19767,4,Y,Yes,15,3,1,80,0,27,4,1,11,4,6,7
18,No,Non-Travel,628,Research & Development,18,4,Life Sciences,1,46,1,Male,60,2,2,Manufacturing Director,4,Married,10353,12467,7,Y,No,22,3,2,80,1,24,1,1,37,6,2,14
37,No,Travel_Rarely,1438,Research & Development,1,2,Human Resources,1,47,2,Female,50,2,2,Research Scientist,2,Married,7449,20989,6,Y,No,14,3,1,80,1,6,5,1,36,13,3,4
39,No,Travel_Rarely,176,Research & Development,19,1,Medical,1,48,4,Female,89,2,1,Healthcare Representative,3,Single,4811,7814,1,Y,Yes,15,3,1,80,2,37,3,2,9,15,1,11
28,No,Travel_Frequently,297,Research & Development,22,2,Technical Degree,1,49,4,Female,87,3,3,Manager,3,Divorced,5421,19633,7,Y,No,19,3,2,80,2,6,4,3,26,17,0,11
30,Yes,Travel_Rarely,130,Sales,8,2,Technical Degree,1,50,2,Female,70,3,2,Sales Representative,2,Single,1281,21266,1,Y,No,15,4,2,80,1,21,5,1,11,13,9,8
59,No,Travel_Rarely,807,Human Resources,3,4,Life Sciences,1,51,1,Female,75,2,3,Manager,2,Married,4721,7247,0,Y,No,20,3,1,80,1,21,1,1,21,0,13,8
20,No,Travel_Rarely,1122,Research & Development,26,4,Technical Degree,1,52,2,Male,74,3,4,Laboratory Technician,2,Divorced,12892,8320,2,Y,No,18,3,2,80,0,26,5,1,3,5,2,14
26,No,Non-Travel,117,Human Resources,25,2,Life Sciences,1,53,4,Male,55,3,3,Manager,4,Married,17256,5070,2,Y,No,17,3,3,80,2,32,5,2,28,9,9,14
29,No,Travel_Rarely,906,Research & Development,26,1,Life Sciences,1,54,3,Female,80,2,4,Research Director,4,Married,2788,7345,5,Y,No,14,3,2,80,2,31,3,3,35,5,8,11
40,No,Travel_Rarely,1041,Research & Development,5,4,Marketing,1,55,1,Male,65,1,1,Manager,4,Married,18640,5593,2,Y,No,20,3,1,80,1,38,2,3,13,1,0,4
31,No,Travel_Frequently,1068,Human Resources,23,2,Marketing,1,56,1,Female,81,3,4,Human Resources,1,Single,6025,21391,6,Y,No,15,3,3,80,0,31,0,1,11,6,14,0
50,No,Travel_Rarely,1202,Sales,8,3,Marketing,1,57,1,Male,80,3,4,Sales Representative,1,Divorced,8741,18681,7,Y,No,17,3,1,80,1,0,2,3,19,16,2,10
35,No,Travel_Rarely,330,Sales,19,3,Other,1,58,2,Male,32,1,1,Sales Executive,3,Single,5654,20300,2,Y,No,16,3,1,80,2,9,2,2,22,13,10,5
58,Yes,Non-Travel,1063,Sales,18,4,Marketing,1,59,2,Male,43,1,2,Sales Executive,2,Married,3064,12830,8,Y,No,23,3,3,80,2,3,0,3,21,6,4,16
26,No,Travel_Rarely,1422,Research & Development,18,1,Life Sciences,1,60,3,Male,78,1,1,Laboratory Technician,2,Single,9660,10727,0,Y,No,13,4,2,80,2,28,5,1,33,8,2,13
40,Yes,Travel_Rarely,816,Research & Development,21,3,Human Resources,1,61,3,Male,30,2,3,Manager,4,Divorced,2258,9065,2,Y,No,20,3,1,80,2,6,2,3,20,10,3,11
27,No,Travel_Rarely,1085,Sales,1,3,Human Resources,1,62,1,Male,86,1,1,Manager,1,Single,7268,25903,2,Y,Yes,13,3,2,80,0,37,2,2,8,2,3,4
36,No,Travel_Rarely,674,Research & Development,15,3,Medical,1,63,3,Male,46,2,3,Research Director,2,Married,13781,11601,6,Y,No,12,3,2,80,2,5,1,2,9,3,0,6
22,No,Travel_Rarely,716,Research & Development,18,1,Marketing,1,64,2,Female,79,1,2,Research Director,3,Married,15489,24260,4,Y,No,24,3,3,80,1,10,1,3,9,4,5,15
40,No,Travel_Rarely,427,Sales,25,1,Human Resources,1,65,3,Female,43,1,3,Manager,2,Married,17131,15252,3,Y,No,13,3,1,80,0,8,3,3,29,3,10,8
47,No,Travel_Rarely,1488,Research & Development,7,4,Marketing,1,66,2,Female,88,2,1,Healthcare Representative,4,Married,9562,26404,1,Y,No,21,3,3,80,0,29,4,1,32,12,11,14
42,No,Travel_Frequently,976,Sales,16,4,Medical,1,67,3,Male,32,2,1,Manager,4,Married,17987,24481,6,Y,No,20,3,3,80,2,21,5,1,1,8,6,3
45,No,Travel_Rarely,460,Research & Development,16,3,Human Resources,1,68,4,Male,69,1,2,Manufacturing Director,1,Single,16391,13202,2,Y,No,23,3,1,80,0,38,3,1,31,13,11,6
51,No,Travel_Rarely,425,Sales,15,1,Life Sciences,1,69,2,Female,95,1,1,Sales Representative,3,Married,4152,14171,6,Y,No,11,3,1,80,2,8,1,3,16,15,6,13
42,No,Travel_Rarely,1451,Human Resources,6,2,Other,1,70,4,Female,63,1,2,Manager,3,Married,10738,6269,6,Y,No,23,3,3,80,0,37,1,2,27,5,12,3
27,No,Travel_Frequently,266,Research & Development,9,3,Marketing,1,71,2,Male,38,3,2,Research Director,2,Married,9888,26264,1,Y,Yes,19,3,3,80,0,32,0,2,16,9,5,3
31,No,Travel_Rarely,899,Sales,7,4,Human Resources,1,72,3,Female,50,1,1,Manager,3,Single,12096,4953,6,Y,No,12,3,3,80,1,25,0,3,13,12,6,13
59,No,Travel_Rarely,556,Sales,14,1,Human Resources,1,73,4,Female,54,2,4,Manager,2,Divorced,7474,5056,5,Y,No,22,3,1,80,1,15,1,2,9,2,13,6
47,No,Travel_Rarely,1278,Research & Development,11,4,Medical,1,74,3,Female,73,3,3,Manager,2,Married,2488,15710,3,Y,No,23,3,1,80,1,8,2,2,33,10,2,14
58,No,Travel_Rarely,1252,Research & Development,21,4,Life Sciences,1,75,2,Female,54,2,4,Manager,1,Single,7622,19845,4,Y,No,13,3,3,80,0,22,3,3,13,2,4,11
42,No,Travel_Rarely,294,Research & Development,16,1,Technical Degree,1,76,4,Male,38,3,2,Healthcare Representative,3,Married,5774,14951,7,Y,No,15,3,1,80,1,14,1,2,16,6,13,13
31,No,Travel_Frequently,728,Research & Development,25,3,Human Resources,1,77,1,Female,91,3,3,Manager,4,Divorced,8446,7304,4,Y,Yes,20,3,1,80,1,18,5,3,36,9,13,12
52,No,Travel_Rarely,631,Sales,6,1,Other,1,78,3,Female,55,2,4,Manager,2,Single,10572,5003,2,Y,No,22,3,1,80,1,15,1,1,21,0,6,11
51,No,Travel_Rarely,1135,Research & Development,22,3,Medical,1,79,2,Female,86,3,1,Research Scientist,2,Married,9833,12502,1,Y,Yes,14,3,2,80,0,24,0,2,17,3,9,15
27,No,Travel_Rarely,193,Sales,27,4,Human Resources,1,80,4,Female,66,2,4,Manager,2,Married,12258,5499,5,Y,No,23,3,2,80,2,34,3,3,34,7,4,15
52,No,Travel_Frequently,240,Research & Development,16,1,Human Resources,1,81,3,Male,45,1,3,Healthcare Representative,3,Single,14416,18087,5,Y,Yes,15,3,3,80,1,12,3,2,17,16,13,0
28,No,Travel_Rarely,582,Research & Development,20,2,Medical,1,82,4,Female,66,3,3,Research Director,3,Divorced,6887,22972,6,Y,No,16,3,2,80,0,6,4,2,29,4,9,14
28,No,Travel_Rarely,550,Research & Development,16,3,Medical,1,83,3,Female,53,2,3,Manager,3,Married,18605,17017,7,Y,No,15,3,3,80,0,33,1,1,36,16,1,4
38,No,Travel_Rarely,1458,Sales,12,2,Marketing,1,84,3,Female,55,3,3,Sales Executive,2,Single,17684,2914,3,Y,Yes,20,3,3,80,2,13,4,3,39,8,5,5
38,No,Travel_Rarely,970,Research & Development,17,3,Human Resources,1,85,3,Female,49,2,4,Manufacturing Director,4,Divorced,2617,26180,7,Y,No,11,3,1,80,1,22,0,1,5,7,6,16
39,No,Travel_Rarely,441,Research & Development,5,1,Technical Degree,1,86,4,Female,38,1,1,Healthcare Representative,4,Married,15636,9349,0,Y,Yes,16,3,3,80,0,22,4,2,14,6,10,10
24,No,Travel_Rarely,1177,Research & Development,27,2,Other,1,87,4,Male,58,1,1,Laboratory Technician,3,Divorced,4570,21140,5,Y,Yes,19,3,3,80,0,16,2,2,34,4,1,3
34,Yes,Travel_Rarely,567,Research & Development,25,1,Life Sciences,1,88,3,Female,60,3,3,Manufacturing Director,4,Married,2098,17035,5,Y,No,13,3,3,80,0,12,1,2,25,3,9,13
19,No,Travel_Rarely,819,Research & Development,13,3,Life Sciences,1,89,1,Female,48,3,1,Manager,2,Married,4790,25582,2,Y,No,12,3,3,80,2,26,1,3,26,2,7,8
29,No,Travel_Rarely,900,Research & Development,8,3,Technical Degree,1,90,1,Male,49,2,4,Research Director,3,Divorced,9826,13111,8,Y,Yes,16,3,1,80,1,1,3,1,29,7,4,2
59,No,Travel_Rarely,576,Sales,24,3,Medical,1,91,1,Female,56,2,1,Sales Executive,3,Single,14134,23850,4,Y,No,22,3,1,80,0,36,4,3,10,4,10,2
35,No,Travel_Rarely,502,Research & Development,5,3,Medical,1,92,2,Male,73,3,2,Research Director,2,Married,6054,6547,0,Y,No,24,3,3,80,0,29,3,2,23,4,7,10
28,Yes,Travel_Frequently,706,Research & Development,12,4,Medical,1,93,1,Female,64,2,1,Manufacturing Director,3,Married,3293,21607,6,Y,Yes,13,3,2,80,0,3,5,1,13,16,14,4
33,No,Non-Travel,1033,Research & Development,9,3,Human Resources,1,94,4,Male,51,2,3,Healthcare Representative,2,Single,9681,14300,2,Y,No,14,3,2,80,0,29,4,2,22,14,2,3
35,No,Non-Travel,1098,Research & Development,3,2,Medical,1,95,1,Male,44,2,1,Manager,3,Married,17569,15804,3,Y,No,16,3,3,80,1,2,4,1,8,7,1,11
52,No,Travel_Frequently,1023,Research & Development,3,3,Medical,1,96,4,Female,42,3,1,Research Director,4,Single,8508,23094,5,Y,No,22,3,1,80,1,13,0,3,17,6,6,11
43,No,Travel_Rarely,922,Research & Development,1,1,Human Resources,1,97,2,Male,33,1,1,Healthcare Representative,3,Married,18608,16954,7,Y,No,23,3,3,80,0,10,4,3,38,16,4,3
33,No,Travel_Frequently,758,Research & Development,25,4,Human Resources,1,98,4,Female,85,1,1,Laboratory Technician,3,Married,12433,10180,3,Y,No,22,3,3,80,0,39,3,3,18,11,4,2
23,Yes,Travel_Rarely,699,Sales,22,2,Technical Degree,1,99,4,Male,52,2,2,Sales Representative,3,Divorced,2617,17870,8,Y,No,16,3,1,80,0,22,5,3,4,3,12,1
59,No,Travel_Rarely,1278,Sales,18,4,Marketing,1,100,4,Male,63,3,4,Sales Representative,1,Single,13888,20144,7,Y,No,22,3,2,80,2,31,4,3,17,17,7,3
29,No,Travel_Rarely,615,Sales,24,4,Human Resources,1,101,1,Female,46,2,3,Sales Representative,4,Married,5827,9483,5,Y,No,12,3,3,80,2,2,4,1,32,3,12,3
30,No,Travel_Rarely,1131,Research & Development,12,4,Other,1,102,3,Male,57,1,3,Research Scientist,2,Single,19787,21878,6,Y,Yes,23,3,1,80,2,0,1,1,37,9,8,6
21,No,Travel_Frequently,601,Research & Development,9,1,Medical,1,103,4,Female,43,2,1,Manager,1,Married,18257,13868,7,Y,No,23,3,1,80,0,8,1,2,12,2,14,1
56,Yes,Travel_Rarely,818,Research & Development,9,4,Marketing,1,104,1,Male,63,1,4,Research Director,4,Married,3163,4294,1,Y,No,13,3,3,80,2,8,5,1,8,4,13,10
19,No,Travel_Rarely,1243,Human Resources,18,4,Life Sciences,1,105,1,Male,86,3,1,Manager,3,Married,3916,14236,4,Y,No,23,3,1,80,1,11,1,2,25,11,7,4
43,No,Non-Travel,702,Sales,18,3,Technical Degree,1,106,1,Female,84,2,2,Sales Executive,3,Divorced,4859,19461,6,Y,No,19,3,3,80,2,0,2,3,0,4,9,12
44,No,Travel_Rarely,767,Research & Development,7,1,Marketing,1,107,3,Female,95,3,4,Manufacturing Director,2,Divorced,9072,25101,7,Y,No,12,3,2,80,0,15,1,1,11,4,1,3
44,No,Travel_Rarely,569,Research & Development,27,2,Human Resources,1,108,3,Male,66,2,4,Healthcare Representative,2,Single,17523,8145,4,Y,Yes,13,3,3,80,1,29,2,1,23,3,9,8
32,No,Non-Travel,262,Sales,4,2,Medical,1,109,3,Female,97,2,4,Manager,4,Married,4051,6209,2,Y,No,19,3,2,80,0,7,5,3,0,5,10,6
25,No,Travel_Rarely,371,Sales,13,2,Medical,1,110,3,Female,55,2,4,Manager,4,Married,10214,21118,5,Y,Yes,14,3,1,80,1,9,2,3,3,9,6,12
24,Yes,Travel_Rarely,1181,Sales,17,1,Medical,1,111,2,Male,90,2,1,Sales Representative,2,Married,2633,8465,4,Y,No,11,3,3,80,2,32,5,3,6,5,10,9
57,No,Travel_Rarely,329,Sales,24,2,Marketing,1,112,3,Male,96,2,2,Manager,4,Single,10936,21895,7,Y,No,21,4,1,80,2,37,3,2,27,0,4,6
29,No,Travel_Rarely,950,Human Resources,2,1,Medical,1,113,3,Female,81,3,4,Human Resources,2,Married,2601,8681,8,Y,Yes,23,4,3,80,1,21,1,2,36,15,13,1
30,No,Travel_Frequently,250,Research & Development,14,3,Human Resources,1,114,3,Male,47,3,3,Research Scientist,3,Married,17451,12701,8,Y,No,12,3,1,80,1,15,4,1,4,10,6,0
34,No,Travel_Rarely,1171,Research & Development,3,3,Marketing,1,115,4,Female,82,1,3,Laboratory Technician,2,Married,15257,17328,5,Y,No,13,4,2,80,0,18,0,3,38,5,2,12
34,Yes,Travel_Rarely,1269,Research & Development,5,1,Medical,1,116,4,Female,92,2,2,Manager,1,Divorced,3026,16024,3,Y,No,19,3,3,80,1,10,4,1,31,17,3,1
53,No,Travel_Rarely,733,Research & Development,14,2,Life Sciences,1,117,3,Female,82,1,3,Laboratory Technician,2,Married,12866,11174,3,Y,Yes,19,4,1,80,0,10,1,3,30,5,6,3
38,No,Travel_Rarely,1465,Sales,3,1,Life Sciences,1,118,2,Female,56,3,1,Sales Representative,2,Single,14368,3977,8,Y,No,21,3,3,80,1,13,4,3,14,16,1,8
25,No,Non-Travel,514,Research & Development,23,1,Other,1,119,4,Female,60,1,1,Manufacturing Director,1,Single,10674,6915,3,Y,No,16,3,3,80,1,38,1,3,2,11,1,7
22,No,Travel_Rarely,621,Research & Development,7,4,Medical,1,120,1,Female,30,3,2,Research Scientist,1,Divorced,17462,5916,7,Y,No,24,3,2,80,2,25,1,3,14,16,0,15
43,No,Travel_Rarely,1469,Research & Development,18,1,Medical,1,121,4,Male,35,2,4,Research Director,1,Divorced,13503,10432,8,Y,No,21,3,1,80,2,19,4,3,17,17,0,3
33,No,Travel_Rarely,488,Research & Development,13,4,Marketing,1,122,1,Female,40,1,3,Manager,1,Married,17624,20194,4,Y,No,16,3,3,80,0,19,2,2,20,9,11,3
53,No,Travel_Rarely,376,Research & Development,23,3,Marketing,1,123,4,Male,63,1,3,Laboratory Technician,2,Married,16370,24101,5,Y,No,13,3,3,80,0,4,3,1,9,11,0,1
45,No,Non-Travel,454,Sales,27,4,Medical,1,124,3,Female,92,1,2,Manager,4,Divorced,7368,4571,2,Y,No,15,4,3,80,0,0,3,3,20,3,5,10
46,No,Travel_Rarely,1191,Sales,22,1,Other,1,125,4,Male,82,1,2,Manager,1,Married,14567,15229,4,Y,No,21,3,3,80,1,10,3,2,25,9,12,3
29,No,Travel_Rarely,1204,Research & Development,10,3,Medical,1,126,3,Male,47,2,3,Manager,3,Divorced,5825,11749,4,Y,No,14,3,3,80,1,9,3,2,2,4,4,13
54,Yes,Travel_Rarely,699,Research & Development,25,4,Human Resources,1,127,3,Male,50,3,4,Manufacturing Director,2,Married,1489,12531,1,Y,No,20,3,1,80,0,27,0,3,0,3,14,16
47,No,Travel_Frequently,1327,Research & Development,13,1,Marketing,1,128,4,Female,48,3,2,Manufacturing Director,4,Married,11874,17426,5,Y,No,20,3,3,80,1,33,5,3,20,15,9,7
40,Yes,Travel_Rarely,659,Sales,16,3,Medical,1,129,1,Male,33,2,1,Sales Executive,3,Married,1960,11596,8,Y,No,22,3,3,80,2,12,1,2,10,4,7,0
33,No,Travel_Frequently,214,Research & Development,9,4,Marketing,1,130,1,Male,58,3,3,Manufacturing Director,2,Single,8878,2462,6,Y,No,19,3,3,80,1,24,0,3,15,5,4,6
31,No,Travel_Rarely,1216,Research & Development,2,1,Medical,1,131,4,Female,54,1,2,Research Director,2,Single,3018,21327,7,Y,No,19,4,1,80,2,22,3,2,34,6,0,0
27,Yes,Non-Travel,242,Sales,23,1,Technical Degree,1,132,3,Male,85,2,2,Sales Executive,3,Married,3254,15692,1,Y,No,11,3,3,80,0,35,3,3,20,9,11,0
24,No,Travel_Rarely,1414,Sales,5,2,Marketing,1,133,1,Male,92,3,2,Sales Representative,1,Divorced,11610,4841,8,Y,Yes,18,3,3,80,1,11,4,2,10,6,7,9
54,Yes,Travel_Rarely,831,Research & Development,22,2,Other,1,134,2,Female,56,2,3,Research Scientist,1,Married,2869,9656,2,Y,No,19,3,2,80,0,1,3,3,30,13,5,12
46,No,Travel_Rarely,690,Human Resources,17,4,Technical Degree,1,135,3,Male,89,2,1,Human Resources,3,Married,4667,9233,4,Y,No,15,3,2,80,2,19,1,2,0,9,7,4
20,No,Travel_Rarely,512,Research & Development,23,4,Human Resources,1,136,4,Male,78,3,1,Laboratory Technician,4,Single,11578,12104,6,Y,Yes,14,3,3,80,0,15,3,1,31,10,12,11
32,Yes,Non-Travel,478,Research & Development,22,4,Medical,1,137,3,Female,94,3,3,Laboratory Technician,1,Single,3742,8798,3,Y,Yes,20,3,3,80,2,13,3,3,2,13,1,2
53,No,Travel_Frequently,1277,Research & Development,4,1,Human Resources,1,138,2,Male,67,2,2,Research Scientist,2,Married,12255,3981,6,Y,No,14,3,2,80,2,1,0,3,31,11,9,3
36,No,Travel_Rarely,852,Research & Development,17,4,Marketing,1,139,2,Male,81,2,3,Manager,2,Married,6834,14069,7,Y,No,12,3,1,80,0,15,1,2,4,3,7,14
30,No,Travel_Rarely,728,Human Resources,9,1,Technical Degree,1,140,1,Male,30,3,3,Manager,4,Married,3546,18537,3,Y,Yes,19,3,1,80,2,3,2,3,36,12,5,12
59,Yes,Travel_Rarely,1444,Human Resources,20,4,Human Resources,1,141,2,Male,69,2,2,Manager,2,Single,1739,2638,4,Y,No,15,3,2,80,0,12,4,1,11,2,0,10
38,No,Travel_Frequently,1494,Sales,2,1,Other,1,142,3,Female,50,3,3,Sales Executive,1,Divorced,17049,21542,2,Y,Yes,21,3,3,80,0,37,2,1,13,12,12,1
